UserID,Month,Balance,Income,Expense,Budget,Savings
1,1,961028.0,995572.0,34544.0,122.0,0.0
1,2,-1591.0,631.0,2222.0,2.0,0.0
1,3,-2222.0,0.0,2222.0,9.0,0.0
1,4,-2134.0,0.0,2134.0,9.0,0.0
1,5,16000.00,4404540.00,3400.00,3900.00,900.00
1,6,0.0,0.0,0.0,40034.00,0.0
1,7,18400.00,4600.00,3600.00,4100.00,1100.00
1,8,19000.00,4734500.00,36700.00,4200.00,1200.00
1,9,20050.00,4800.00,3800.00,4300.00,1300.060
1,10,0.0,0.0,0.0,4400.00,0.0
1,11,22000.00,435000.00,4000.00,450340.00,1500.00
1,12,2300.00,57100.00,4100.00,4600.00,1600.00

2,1,1310.0,0.0,1310.0,1.0,0
2,2,10499.5,95.0,0.0,0.5,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0

3,1,0,0,0,0,0
3,2,0,0,0,0,0
3,3,0,0,0,0,0
3,4,0,0,0,0,0
3,5,0,0,0,0,0
3,6,0,0,0,0,0
3,7,0,0,0,0,0
3,8,0,0,0,0,0
3,9,0,0,0,0,0
3,10,0,0,0,0,0
3,11,0,0,0,0,0
3,12,0,0,0,0,0
4,1,0,0,0,0,0
4,2,0,0,0,0,0
4,3,0,0,0,0,0
4,4,0,0,0,0,0
4,5,0,0,0,0,0
4,6,0,0,0,0,0
4,7,0,0,0,0,0
4,8,0,0,0,0,0
4,9,0,0,0,0,0
4,10,0,0,0,0,0
4,11,0,0,0,0,0
4,12,0,0,0,0,0
5,1,0,0,0,0.0,0
5,2,0,0,0,0,0
5,3,0,0,0,0,0
5,4,0,0,0,0,0
5,5,0,0,0,0,0
5,6,0,0,0,0,0
5,7,0,0,0,0,0
5,8,0,0,0,0,0
5,9,0,0,0,0,0
5,10,0,0,0,0,0
5,11,0,0,0,0,0
5,12,0,0,0,0,0
